PERMNO,date,RET
89235,20011031,
89235,20011130,C
89235,20011231,0.049609
89235,20020131,-0.020113
89235,20020228,0.059103
89235,20020328,0.064277
89235,20020430,-0.031662
89235,20020531,0.011529
89235,20020628,-0.001308
89235,20020731,-0.112254
89235,20020830,0.014225
89235,20020930,-0.080727
89235,20021031,-0.005199
89235,20021129,0.028403
89235,20021231,0.029833
89235,20030131,-0.029541
89235,20030228,0.007892
89235,20030331,0.004474
89235,20030430,0.006904
89235,20030530,0.095996
89235,20030630,0.011100
89235,20030731,-0.033932
89235,20030829,0.045248
89235,20030930,-0.009686
89235,20031031,0.017765
89235,20031128,0.015101
89235,20031231,0.148740
89235,20040130,-0.017505
89235,20040227,0.050683
89235,20040331,0.010701
89235,20040430,0.001955
89235,20040528,0.002926
89235,20040630,0.044902
89235,20040730,0.023891
89235,20040831,-0.017727
89235,20040930,0.077896
89235,20041029,0.018746
89235,20041130,0.068830
89235,20041231,-0.021914
89235,20050131,0.018592
89235,20050228,0.151772
89235,20050331,-0.029580
89235,20050429,-0.045629
89235,20050531,0.018495
89235,20050630,0.068931
89235,20050729,0.052698
89235,20050831,0.063015
89235,20050930,0.051430
89235,20051031,-0.091641
89235,20051130,0.012532
89235,20051230,0.011551
89235,20060131,0.134159
89235,20060228,-0.079864
89235,20060331,0.041351
89235,20060428,0.066051
89235,20060531,-0.039277
89235,20060630,0.015835
89235,20060731,0.041568
89235,20060831,-0.034558
89235,20060929,-0.035983
89235,20061031,0.043758
89235,20061130,0.066387
89235,20061229,-0.008220
89235,20070131,-0.032475
89235,20070228,-0.023551
89235,20070330,0.058304
89235,20070430,0.045760
89235,20070531,0.070184
89235,20070629,0.036880
89235,20070731,-0.008042
89235,20070831,-0.008340
89235,20070928,0.085049
89235,20071031,0.046363
89235,20071130,-0.049086
89235,20071231,0.053246
89235,20080131,-0.116648
89235,20080229,0.067422
89235,20080331,-0.031694
89235,20080430,0.126447
89235,20080530,0.054687
89235,20080630,-0.000623
89235,20080731,-0.137549
89235,20080829,-0.009118
89235,20080930,-0.132505
89235,20081031,-0.178202
89235,20081128,-0.017748
89235,20081231,-0.026102
89235,20090130,-0.052290
89235,20090227,-0.091958
89235,20090331,0.052423
89235,20090430,0.067547
89235,20090529,0.163662
89235,20090630,-0.057659
89235,20090731,0.039088
89235,20090831,0.013480
89235,20090930,0.054748
89235,20091030,0.019941
89235,20091130,0.036228
89235,20091231,0.001860
89235,20100129,-0.063341
89235,20100226,0.012867
89235,20100331,0.044313
89235,20100430,0.013861
89235,20100528,-0.118025
89235,20100630,-0.062938
89235,20100730,0.099145
89235,20100831,-0.050389
89235,20100930,0.109073
89235,20101029,0.046072
89235,20101130,0.009881
89235,20101231,0.101711
89235,20110131,0.060164
89235,20110228,0.063270
89235,20110331,0.008858
89235,20110429,0.022287
89235,20110531,-0.048668
89235,20110630,-0.023342
89235,20110729,-0.002395
89235,20110831,-0.095318
89235,20110930,-0.119427
89235,20111031,0.169379
89235,20111130,0.005412
89235,20111230,-0.009808
89235,20120131,0.030636
89235,20120229,0.055894
89235,20120330,-0.042830
89235,20120430,-0.012318
89235,20120531,-0.116315
89235,20120629,0.059184
89235,20120731,0.024263
89235,20120831,0.038223
89235,20120928,0.019704
89235,20121031,-0.010425
89235,20121130,-0.017729
89235,20121231,0.012792
